"price","dist1","dist2","dist3","rooms","square","floor","type1","type2","type3"
"26 000 грн","ЖК Місце мрії","Шулявка","Солом'янський","2 кімнати","60 / 35 / 15 м²","поверх 14 з 25","спец. проект","монолітно-каркасний","2009"
"","","","","","","","","",""
"95 750 грн","ЖК Central Park","Нова забудова","Печерський","3 кімнати","131 / 80 / 15 м²","поверх 10 з 25","","",""
"","","","","","","","","",""
"57 450 грн","ЖК Новопечерські Липки","Чорна Гора","Печерський","2 кімнати","87 / 41 / 17 м²","поверх 2 з 23","спец. проект","монолітно-каркасний","2013"
"8 000 грн","Харьківський","Дарницький","Київ","1 кімната","40 / 18 / 9 м²","поверх 3 з 16","серія Т","утеплена панель","1983"
"","","","","","","","","",""
"15 000 грн","ЖМ Патріотика","Осокорки","Дарницький","1 кімната","38 / 12 / 16 м²","поверх 15 з 25","спец. проект","панельні","2018"
"114 900 грн","Нижній Печерськ","Печерський","Київ","3 кімнати","112 / 60 / 40 м²","поверх 7 з 25","","",""
"14 999 грн","Лівобережний масив","Дніпровський","Київ","3 кімнати","68 / 34 / 8 м²","поверх 6 з 9","серія 96","утеплена панель","1978"
"38 300 грн","ЖК Podil Plaza & Residence","Шевченківський","Київ","2 кімнати","80 / 60 / 10 м²","поверх 10 з 25","","",""
"45 960 грн","ЖК вул. Антоновича (Горького), 72","Нова забудова","Голосіївський","1 кімната","50 / 19 / 30 м²","поверх 14 з 25","спец. проект","монолітно-каркасний","2006"
"9 000 грн","Харьківський","Дарницький","Київ","1 кімната","38 / 19 / 8 м²","поверх 3 з 9","цегляний будинок","",""
"34 470 грн","ЖК Славутич","Позняки","Дарницький","3 кімнати","77 / 30 / 25 м²","поверх 4 з 12","спец. проект","монолітно-каркасний","2018"
"","","","","","","","","",""
"30 640 грн","ЖК Сонячна брама","Голосіїво","Голосіївський","3 кімнати","104 / 52 / 13 м²","поверх 14 з 20","спец. проект","монолітно-каркасний","2013"
"12 500 грн","ЖК Амурський","Голосіїво","Голосіївський","1 кімната","28 / 17 / 5 м²","поверх 26 з 26","спец. проект","панельні","2018"
"12 900 грн","Лук'янівка","Шевченківський","Київ","1 кімната","36 / 20 / 8 м²","поверх 5 з 9","совмін","цегляний будинок","1986"
"24 895 грн","ЖК Львівський квартал","Шевченківський","Київ","2 кімнати","72 / 34 / 13 м²","поверх 16 з 24","спец. проект","монолітно-каркасний","2018"
"18 000 грн","ЖК The Lakes","Деміївка","Голосіївський","1 кімната","55 / 18 / 16 м²","поверх 8 з 25","спец. проект","монолітно-каркасний","2018"
"34 470 грн","ЖК RiverStone","Позняки","Дарницький","2 кімнати","88 / 65 / 18 м²","поверх 10 з 24","спец. проект","монолітно-каркасний","2012"
"","","","","","","","","",""
"10 000 грн","Лісовий","Деснянський","Київ","1 кімната","38 / 17 / 8.5 м²","поверх 5 з 9","чеський проект","панельні","1970"
"10 000 грн","Лісовий","Деснянський","Київ","2 кімнати","49 / 31 / 7 м²","поверх 5 з 5","хрущівка","панельні","1968"
"18 000 грн","ЖК Деміївка","Деміївка","Голосіївський","1 кімната","51 / 20 / 15 м²","поверх 18 з 20","спец. проект","монолітно-каркасний","2018"
"11 500 грн","Позняки","Дарницький","Київ","1 кімната","48 / 19 / 10 м²","поверх 4 з 10","спец. проект","цегляний будинок","2001"
"12 000 грн","Шулявка","Шевченківський","Київ","2 кімнати","48 / 35 / 7 м²","поверх 4 з 5","спец. проект","цегляний будинок","1961"
"57 450 грн","ЖК Новопечерські Липки","Чорна Гора","Печерський","3 кімнати","110 / 70 / 20 м²","поверх 10 з 25","спец. проект","монолітно-каркасний","2014"
"8 000 грн","Соцмісто","Дніпровський","Київ","1 кімната","32 / 17 / 9 м²","поверх 1 з 9","чеський проект","панельні","1970"
"","","","","","","","","",""
"10 000 грн","Теремки-1","Голосіївський","Київ","1 кімната","38 / 18 / 10 м²","поверх 11 з 14","серія КТ","утеплена панель","1988"
"38 300 грн","ЖК Златоустівська 14-18","Солдатська слобідка","Шевченківський","3 кімнати","105 / 80 / 15 м²","поверх 4 з 16","спец. проект","монолітно-каркасний","2015"
"33 000 грн","ЖК Покровський посад","Кудрявець","Шевченківський","2 кімнати","107 / 49 / 29 м²","поверх 10 з 22","спец. проект","монолітно-каркасний","2014"
"16 000 грн","Звіринець","Печерський","Київ","1 кімната","40 / 20 / 7.5 м²","поверх 9 з 9","","",""
"25 000 грн","ЖК Сонячна брама","Голосіїво","Голосіївський","2 кімнати","80 / 35 / 18 м²","поверх 3 з 20","спец. проект","монолітно-каркасний","2010"
"8 500 грн","Лісовий","Деснянський","Київ","2 кімнати","49 / 24 / 7 м²","поверх 4 з 5","хрущівка","панельні","1968"
"22 000 грн","Позняки","Дарницький","Київ","1 кімната","34 / 18 / 10 м²","поверх 21 з 30","цегляний будинок","",""
"12 000 грн","Оболонь","Оболонський","Київ","1 кімната","38 / 19 / 9 м²","поверх 2 з 12","серія 134","утеплена панель","1982"
"13 000 грн","Теремки-1","Голосіївський","Київ","3 кімнати","80 / 38 / 8 м²","поверх 6 з 16","серія КТ","утеплена панель","1989"
"11 000 грн","ЖК Еврика","Теремки-2","Голосіївський","1 кімната","33 / 22 / 9 м²","поверх 11 з 24","серія КТ","утеплена панель","2017"
"13 000 грн","Харьківський","Дарницький","Київ","2 кімнати","55 / 32 / 9 м²","поверх 6 з 9","серія 134","утеплена панель","1986"
"23 000 грн","ЖК Respublika","Добрий шлях","Голосіївський","1 кімната","37 / 15 / 13 м²","поверх 5 з 10","панельні","",""
"18 000 грн","ЖК Be the One","Академмістечко","Святошинський","2 кімнати","32 / 18 / 8 м²","поверх 13 з 21","","",""
"14 000 грн","ЖК Харківський","Харьківський","Дарницький","1 кімната","38 / 16 / 17 м²","поверх 6 з 25","спец. проект","цегляний будинок","2018"
"5 000 грн","Оболонь","Оболонський","Київ","2 кімнати","54 / 40 / 9 м²","поверх 5 з 9","серія Т","утеплена панель","1983"
"13 500 грн","Саперна Слобідка","Голосіївський","Київ","1 кімната","49 / 26 / 13 м²","поверх 3 з 22","серія Т","утеплена панель","2007"
"14 000 грн","Кудрявець","Шевченківський","Київ","2 кімнати","55 / 32 / 7 м²","поверх 9 з 14","спец. проект","цегляний будинок","1980"
"18 999 грн","ЖК Лебединий","Позняки","Дарницький","1 кімната","38 / 10 / 20 м²","поверх 17 з 25","спец. проект","монолітно-каркасний","2019"
"22 000 грн","ЖК Smart Plaza Polytech","Шулявка","Шевченківський","1 кімната","47 / 20 / 14 м²","поверх 6 з 23","спец. проект","монолітно-каркасний","2017"
"10 000 грн","Харьківський","Дарницький","Київ","1 кімната","35 / 20 / 8 м²","поверх 1 з 9","гостинка","цегляний будинок","1978"
"11 000 грн","Солом'янка","Солом'янський","Київ","3 кімнати","67 / 45 / 8 м²","поверх 6 з 9","сталінка","цегляний будинок","1940"
"18 000 грн","Шулявка","Шевченківський","Київ","2 кімнати","54 / 32 / 12 м²","поверх 2 з 9","чеський проект","панельні","1972"
"19 000 грн","Харьківський","Дарницький","Київ","3 кімнати","75 / 42 / 9 м²","поверх 10 з 16","серія КТ","утеплена панель","1987"
"25 000 грн","ЖК Smart Plaza Polytech","Шулявка","Шевченківський","1 кімната","45 / 30 / 12 м²","поверх 20 з 25","спец. проект","монолітно-каркасний","2017"
"21 000 грн","Солдатська слобідка","Шевченківський","Київ","3 кімнати","70 / 50 / 12 м²","поверх 2 з 10","","",""
"15 000 грн","ЖК Амурський","Голосіїво","Голосіївський","2 кімнати","65 / 35 / 10 м²","поверх 16 з 23","спец. проект","панельні","2015"
"12 000 грн","ЖК Харківський","Харьківський","Дарницький","1 кімната","40 / 23 / 10 м²","поверх 3 з 24","спец. проект","цегляний будинок","2018"
"13 000 грн","Святошино","Святошинський","Київ","1 кімната","47 / 25 / 12 м²","поверх 8 з 16","спец. проект","цегляний будинок","2005"
"12 000 грн","Оболонь","Оболонський","Київ","2 кімнати","54 / 34 / 8 м²","поверх 10 з 16","БПС","утеплена панель","1979"
"15 000 грн","ЖК Лебединий","Позняки","Дарницький","1 кімната","43 / 10 / 20 м²","поверх 5 з 25","спец. проект","монолітно-каркасний","2019"
"18 000 грн","Нивки","Шевченківський","Київ","3 кімнати","74 / 55 / 10 м²","поверх 4 з 5","сталінка","цегляний будинок","1959"
"18 000 грн","ЖК RiverStone","Позняки","Дарницький","1 кімната","60 / 22 / 20 м²","поверх 3 з 23","спец. проект","монолітно-каркасний","2016"
"32 000 грн","ЖК Seven","Позняки","Дарницький","3 кімнати","67 / 29 / 25 м²","поверх 17 з 26","спец. проект","монолітно-каркасний","2019"
"15 000 грн","Оболонь","Оболонський","Київ","2 кімнати","52 / 30 / 8 м²","поверх 5 з 9","серія 96","утеплена панель","1979"
"23 000 грн","Куренівка","Київ","","2 кімнати","48 / 30 / 8 м²","поверх 18 з 24","","",""
"24 000 грн","ЖК Нивки-Парк","Ґалаґани","Святошинський","2 кімнати","72 / 40 / 20 м²","поверх 9 з 18","спец. проект","монолітно-каркасний","2021"
"8 000 грн","Нова забудова","Печерський","Київ","2 кімнати","42 / 30 / 7 м²","поверх 4 з 9","цегляний будинок","1969",""
"7 500 грн","Оболонь","Оболонський","Київ","1 кімната","35 / 18 / 7 м²","поверх 6 з 9","серія 134","утеплена панель","1977"
"16 500 грн","ЖК вул. Краківська, 27а","Соцмісто","Дніпровський","1 кімната","41 / 25 / 9 м²","поверх 21 з 26","","",""
"20 000 грн","ЖК Seven","Позняки","Дарницький","1 кімната","44 / 20 / 16 м²","поверх 10 з 25","спец. проект","монолітно-каркасний","2019"
"15 000 грн","ЖК Лебединий","Позняки","Дарницький","1 кімната","47 / 20 / 16 м²","поверх 10 з 25","спец. проект","монолітно-каркасний","2018"
"12 000 грн","ЖМ Патріотика","Осокорки","Дарницький","1 кімната","40 / 20 / 10 м²","поверх 20 з 25","спец. проект","панельні","2017"
"21 065 грн","ЖК Славутич","Позняки","Дарницький","1 кімната","50 / 20 / 20 м²","поверх 32 з 34","спец. проект","монолітно-каркасний","2018"
"17 999 грн","Нивки","Шевченківський","Київ","1 кімната","45 / 30 / 10 м²","поверх 13 з 25","","",""
"25 000 грн","ЖК Творець","Нижній Печерськ","Печерський","2 кімнати","84 / 40 / 15 м²","поверх 8 з 25","спец. проект","монолітно-каркасний","2006"
"20 000 грн","ЖК Нивки-Парк","Виноградар","Святошинський","1 кімната","49 / 25 / 15 м²","поверх 10 з 16","","",""
"14 000 грн","ЖК Рів'єра","Дачі Осокорки","Дарницький","1 кімната","35 / 15 / 10 м²","поверх 5 з 10","спец. проект","монолітно-каркасний","2017"
"11 000 грн","ЖМ Патріотика","Осокорки","Дарницький","1 кімната","38 / 18 / 9 м²","поверх 20 з 25","спец. проект","панельні","2018"
"14 000 грн","ЖК Welcome Home на Ревуцького","Осокорки","Дарницький","1 кімната","38 / 18 / 9 м²","поверх 14 з 25","спец. проект","панельні","2019"
"7 500 грн","Черепанова гора","Печерський","Київ","1 кімната","22 / 13 / 4 м²","поверх 3 з 9","гостинка","цегляний будинок","1976"
"14 500 грн","Солдатська слобідка","Шевченківський","Київ","1 кімната","38 / 19 / 8.5 м²","поверх 4 з 6","цегляний будинок","",""
"42 130 грн","ЖК вул. Златоустівська, 50","Солдатська слобідка","Шевченківський","4 кімнати","121 / 65 / 15 м²","поверх 12 з 14","спец. проект","монолітно-каркасний","2013"
"7 000 грн","Святошино","Святошинський","Київ","1 кімната","34 / 19 / 7 м²","поверх 5 з 9","гостинка","цегляний будинок","1974"
"12 000 грн","Позняки","Дарницький","Київ","3 кімнати","80 / 54 / 10 м²","поверх 10 з 16","АППС","утеплена панель","1993"
"16 000 грн","Солом'янка","Солом'янський","Київ","2 кімнати","67 / 43 / 8 м²","поверх 1 з 5","хрущівка","цегляний будинок","1961"
"7 000 грн","Оболонь","Оболонський","Київ","1 кімната","30 / 17 / 6 м²","поверх 8 з 9","гостинка","панельні","1975"
"15 600 грн","Голосіївський","Київ","","1 кімната","58 / - / 20 м²","поверх 11 з 19","","",""
"9 990 грн","ЖМ Патріотика","Осокорки","Дарницький","1 кімната","32 / - / 8 м²","поверх 5 з 25","спец. проект","панельні","2016"
"7 000 грн","Оболонь","Оболонський","Київ","1 кімната","28 / - / 5 м²","поверх 1 з 9","гостинка","цегляний будинок","1974"
"26 810 грн","Позняки","Дарницький","Київ","2 кімнати","72 / - / 30 м²","поверх 12 з 25","","",""
"18 000 грн","Печерськ","Печерський","Київ","2 кімнати","53 / - / 7 м²","поверх 3 з 9","спец. проект","цегляний будинок","1971"
"76 600 грн","Нова забудова","Голосіївський","Київ","4 кімнати","160 / - / 10 м²","поверх 5 з 5","","",""
"11 000 грн","Шулявка","Шевченківський","Київ","1 кімната","40 / - / 9 м²","поверх 5 з 9","гостинка","цегляний будинок","1987"
"11 500 грн","Теремки-1","Голосіївський","Київ","1 кімната","32 / - / 12 м²","поверх 21 з 21","серія КТ","утеплена панель","1986"
