"price","dist1","dist2","dist3","rooms","square","floor","type1","type2","type3"
"16 999 грн","ЖК вул. Каховська, 60","Микільська Слобідка","Дніпровський","1 кімната","43 / 29 / 12 м²","поверх 3 з 25","цегляний будинок","2020",""
"","","","","","","","","",""
"8 000 грн","Харьківський","Дарницький","Київ","1 кімната","40 / 18 / 9 м²","поверх 3 з 16","серія Т","утеплена панель","1983"
"","","","","","","","","",""
"15 000 грн","ЖМ Патріотика","Осокорки","Дарницький","1 кімната","38 / 12 / 16 м²","поверх 15 з 25","спец. проект","панельні","2018"
"20 000 грн","ЖК Златоустівський","Солдатська слобідка","Шевченківський","1 кімната","44 / 20 / 16 м²","поверх 12 з 16","спец. проект","монолітно-каркасний","2013"
"","","","","","","","","",""
"16 000 грн","Місто Квітів. Парковий квартал","Сирець","Подільський","1 кімната","45 / 20 / 12 м²","поверх 4 з 16","спец. проект","монолітно-каркасний","2019"
"45 960 грн","ЖК вул. Антоновича (Горького), 72","Нова забудова","Голосіївський","1 кімната","50 / 19 / 30 м²","поверх 14 з 25","спец. проект","монолітно-каркасний","2006"
"17 000 грн","Варшавський Мікрорайон","Виноградар","Подільський","1 кімната","45 / 20 / 12 м²","поверх 5 з 25","спец. проект","монолітно-каркасний","2017"
"9 000 грн","Харьківський","Дарницький","Київ","1 кімната","38 / 19 / 8 м²","поверх 3 з 9","цегляний будинок","",""
"15 000 грн","ЖК Комфорт Таун","Соцмісто","Дніпровський","1 кімната","42 / 19 / 18 м²","поверх 2 з 10","","",""
"12 500 грн","ЖК Амурський","Голосіїво","Голосіївський","1 кімната","28 / 17 / 5 м²","поверх 26 з 26","спец. проект","панельні","2018"
"12 900 грн","Лук'янівка","Шевченківський","Київ","1 кімната","36 / 20 / 8 м²","поверх 5 з 9","совмін","цегляний будинок","1986"
"","","","","","","","","",""
"13 000 грн","Саперна Слобідка","Голосіївський","Київ","1 кімната","30 / 18 / 8 м²","поверх 3 з 4","хрущівка","цегляний будинок",""
"18 000 грн","ЖК The Lakes","Деміївка","Голосіївський","1 кімната","55 / 18 / 16 м²","поверх 8 з 25","спец. проект","монолітно-каркасний","2018"
"10 000 грн","Лісовий","Деснянський","Київ","1 кімната","38 / 17 / 8.5 м²","поверх 5 з 9","чеський проект","панельні","1970"
"16 000 грн","Позняки","Дарницький","Київ","1 кімната","53 / 24 / 13 м²","поверх 13 з 16","спец. проект","монолітно-каркасний","2006"
"18 000 грн","ЖК Деміївка","Деміївка","Голосіївський","1 кімната","51 / 20 / 15 м²","поверх 18 з 20","спец. проект","монолітно-каркасний","2018"
"11 500 грн","Позняки","Дарницький","Київ","1 кімната","48 / 19 / 10 м²","поверх 4 з 10","спец. проект","цегляний будинок","2001"
"","","","","","","","","",""
"6 500 грн","Лісовий","Деснянський","Київ","1 кімната","29 / 16 / 6 м²","поверх 2 з 9","чеський проект","панельні","1973"
"13 000 грн","ЖК Совські ставки","Олександрівська Слобідка","Солом'янський","1 кімната","32 / 13 / 6 м²","поверх 8 з 13","","",""
"8 000 грн","Соцмісто","Дніпровський","Київ","1 кімната","32 / 17 / 9 м²","поверх 1 з 9","чеський проект","панельні","1970"
"14 000 грн","Шулявка","Солом'янський","Київ","1 кімната","32 / 15 / 8 м²","поверх 4 з 5","хрущівка","цегляний будинок","1961"
"8 000 грн","Багринова гора","Голосіївський","Київ","1 кімната","21 / 14 / 5 м²","поверх 1 з 16","","",""
"10 000 грн","Теремки-1","Голосіївський","Київ","1 кімната","38 / 18 / 10 м²","поверх 11 з 14","серія КТ","утеплена панель","1988"
"16 000 грн","Звіринець","Печерський","Київ","1 кімната","40 / 20 / 7.5 м²","поверх 9 з 9","","",""
"","","","","","","","","",""
"8 000 грн","Нова Дарниця","Дарницький","Київ","1 кімната","34 / 18 / 7.5 м²","поверх 5 з 9","цегляний будинок","1970",""
"10 000 грн","Відрадний","Солом'янський","Київ","1 кімната","32 / 18 / 6 м²","поверх 3 з 5","хрущівка","панельні","1966"
"13 000 грн","Святошино","Святошинський","Київ","1 кімната","47 / 25 / 12 м²","поверх 8 з 16","спец. проект","цегляний будинок","2005"
"15 000 грн","ЖК Лебединий","Позняки","Дарницький","1 кімната","43 / 10 / 20 м²","поверх 5 з 25","спец. проект","монолітно-каркасний","2019"
"8 000 грн","Село Троєщина","Деснянський","Київ","1 кімната","30 / 17 / 7 м²","поверх 2 з 8","","",""
"18 000 грн","ЖК RiverStone","Позняки","Дарницький","1 кімната","60 / 22 / 20 м²","поверх 3 з 23","спец. проект","монолітно-каркасний","2016"
"11 500 грн","Троєщина","Деснянський","Київ","1 кімната","34 / 18 / 10 м²","поверх 19 з 26","","",""
"17 000 грн","ЖК Henesi House","Татарка","Шевченківський","1 кімната","42 / 16 / 15 м²","поверх 12 з 18","спец. проект","монолітно-каркасний","2021"
"6 500 грн","Троєщина","Деснянський","Київ","1 кімната","36 / 25 / 10 м²","поверх 9 з 16","серія КТ","утеплена панель","1988"
"7 500 грн","Мінський","Оболонський","Київ","1 кімната","24 / 14 / 6 м²","поверх 1 з 9","гостинка","цегляний будинок","1972"
"16 000 грн","ЖК Комфорт Таун","Соцмісто","Дніпровський","1 кімната","44 / 16 / 15 м²","поверх 1 з 9","","",""
"25 000 грн","ЖК Rybalsky","Рибальський острів","Подільський","1 кімната","50 / 28 / 18 м²","поверх 5 з 9","спец. проект","цегляний будинок","2019"
"12 000 грн","ЖК Харківський","Харьківський","Дарницький","1 кімната","40 / 23 / 10 м²","поверх 3 з 24","спец. проект","цегляний будинок","2018"
"7 990 грн","Троєщина","Деснянський","Київ","1 кімната","40 / 18 / 9 м²","поверх 10 з 16","серія Т","утеплена панель","1989"
"14 000 грн","ЖК Харківський","Харьківський","Дарницький","1 кімната","38 / 16 / 17 м²","поверх 6 з 25","спец. проект","цегляний будинок","2018"
"13 500 грн","Саперна Слобідка","Голосіївський","Київ","1 кімната","49 / 26 / 13 м²","поверх 3 з 22","серія Т","утеплена панель","2007"
"11 000 грн","Борщагівка","Святошинський","Київ","1 кімната","38 / 18 / 8 м²","поверх 2 з 9","панельні","1972",""
"6 500 грн","Харьківський","Дарницький","Київ","1 кімната","32 / 19 / 6 м²","поверх 5 з 9","гостинка","цегляний будинок","1987"
"18 999 грн","ЖК Лебединий","Позняки","Дарницький","1 кімната","38 / 10 / 20 м²","поверх 17 з 25","спец. проект","монолітно-каркасний","2019"
"22 000 грн","ЖК Smart Plaza Polytech","Шулявка","Шевченківський","1 кімната","47 / 20 / 14 м²","поверх 6 з 23","спец. проект","монолітно-каркасний","2017"
