price,district,rooms,floor,metro,total_area,kitchen_area,floor_total
26000,Солом'янський,2,14.0,1,60.0,15.0,25.0
95750,Печерський,3,10.0,1,131.0,15.0,25.0
57450,Печерський,2,2.0,1,87.0,17.0,23.0
8000,Дарницький,1,3.0,1,40.0,9.0,16.0
15000,Дарницький,1,15.0,1,38.0,16.0,25.0
114900,Печерський,3,7.0,1,112.0,40.0,25.0
14999,Дніпровський,3,6.0,1,68.0,8.0,9.0
38300,Шевченківський,2,10.0,1,80.0,10.0,25.0
45960,Голосіївський,1,14.0,1,50.0,30.0,25.0
9000,Дарницький,1,3.0,1,38.0,8.0,9.0
34470,Дарницький,3,4.0,1,77.0,25.0,12.0
30640,Голосіївський,3,14.0,1,104.0,13.0,20.0
12500,Голосіївський,1,26.0,1,28.0,5.0,26.0
12900,Шевченківський,1,5.0,1,36.0,8.0,9.0
24895,Шевченківський,2,16.0,1,72.0,13.0,24.0
18000,Голосіївський,1,8.0,1,55.0,16.0,25.0
34470,Дарницький,2,10.0,1,88.0,18.0,24.0
10000,Деснянський,1,5.0,1,38.0,8.5,9.0
10000,Деснянський,2,5.0,1,49.0,7.0,5.0
18000,Голосіївський,1,18.0,1,51.0,15.0,20.0
11500,Дарницький,1,4.0,1,48.0,10.0,10.0
12000,Шевченківський,2,4.0,1,48.0,7.0,5.0
57450,Печерський,3,10.0,1,110.0,20.0,25.0
8000,Дніпровський,1,1.0,1,32.0,9.0,9.0
10000,Голосіївський,1,11.0,1,38.0,10.0,14.0
38300,Шевченківський,3,4.0,1,105.0,15.0,16.0
33000,Шевченківський,2,10.0,1,107.0,29.0,22.0
16000,Печерський,1,9.0,1,40.0,7.5,9.0
25000,Голосіївський,2,3.0,1,80.0,18.0,20.0
8500,Деснянський,2,4.0,1,49.0,7.0,5.0
22000,Дарницький,1,21.0,1,34.0,10.0,30.0
12000,Оболонський,1,2.0,1,38.0,9.0,12.0
13000,Голосіївський,3,6.0,1,80.0,8.0,16.0
11000,Голосіївський,1,11.0,1,33.0,9.0,24.0
13000,Дарницький,2,6.0,1,55.0,9.0,9.0
23000,Голосіївський,1,5.0,1,37.0,13.0,10.0
18000,Святошинський,2,13.0,1,32.0,8.0,21.0
14000,Дарницький,1,6.0,1,38.0,17.0,25.0
5000,Оболонський,2,5.0,1,54.0,9.0,9.0
13500,Голосіївський,1,3.0,1,49.0,13.0,22.0
14000,Шевченківський,2,9.0,1,55.0,7.0,14.0
18999,Дарницький,1,17.0,1,38.0,20.0,25.0
22000,Шевченківський,1,6.0,1,47.0,14.0,23.0
10000,Дарницький,1,1.0,1,35.0,8.0,9.0
11000,Солом'янський,3,6.0,1,67.0,8.0,9.0
18000,Шевченківський,2,2.0,1,54.0,12.0,9.0
19000,Дарницький,3,10.0,1,75.0,9.0,16.0
25000,Шевченківський,1,20.0,1,45.0,12.0,25.0
21000,Шевченківський,3,2.0,1,70.0,12.0,10.0
15000,Голосіївський,2,16.0,1,65.0,10.0,23.0
12000,Дарницький,1,3.0,1,40.0,10.0,24.0
13000,Святошинський,1,8.0,1,47.0,12.0,16.0
12000,Оболонський,2,10.0,1,54.0,8.0,16.0
15000,Дарницький,1,5.0,1,43.0,20.0,25.0
18000,Шевченківський,3,4.0,1,74.0,10.0,5.0
18000,Дарницький,1,3.0,1,60.0,20.0,23.0
32000,Дарницький,3,17.0,1,67.0,25.0,26.0
15000,Оболонський,2,5.0,1,52.0,8.0,9.0
24000,Святошинський,2,9.0,1,72.0,20.0,18.0
8000,Печерський,2,4.0,1,42.0,7.0,9.0
7500,Оболонський,1,6.0,1,35.0,7.0,9.0
